n,mean_slope,mean_convergence_time,mean_final_disagreement,mean_actual_repeats
2,-0.9255428669486842,27.94861111111111,5.694509973645384e-10,17.5
3,-0.7238633455839194,30.280555555555555,9.750741435310163e-10,15.0
4,-0.5969866226049273,36.89333333333334,5.25986003780528e-09,16.666666666666668
5,-0.5081905405811601,46.645,1.1403154287160479e-08,17.916666666666668
6,-0.45217066566947084,56.96944444444444,1.887149694379897e-08,16.666666666666668
7,-0.4212648836567198,68.175,2.1986583663946024e-08,17.083333333333332
8,-0.39017764190559695,76.99305555555556,3.0434292991443886e-08,17.5
9,-0.36651031356308317,88.95,3.1267081748823e-08,15.416666666666666
10,-0.3476852145205919,103.47777777777777,4.707796300599777e-08,17.5
11,-0.320093782084656,116.37361111111112,3.874733089232322e-08,18.333333333333332
12,-0.3141528816343435,133.17555555555558,3.753832569180922e-08,18.333333333333332
13,-0.28568161580902024,149.58694444444444,4.5082148880702964e-08,20.833333333333332
14,-0.2765160658769262,164.58055555555555,8.597101251176198e-08,21.25
15,-0.26398468523123997,168.25277777777777,2.467989214443105e-07,18.75
16,-0.255093317234113,169.66166666666666,1.2503139314136144e-06,17.916666666666668
17,-0.24595625710957816,169.8138888888889,2.8485340728982575e-06,15.833333333333334
18,-0.24291093101486913,170.71666666666667,9.243766200495673e-06,21.25
19,-0.23836030115650844,171.31944444444446,2.2399826775284303e-05,21.666666666666668
20,-0.23516025243146188,171.74694444444444,4.663957491748378e-05,21.666666666666668
