n,network_type,logic_type,mean_slope,std_slope,mean_convergence_time,std_convergence_time,mean_final_disagreement,std_final_disagreement,mean_topic1_disagreement,mean_topic2_disagreement,mean_topic3_disagreement,convergence_rate,actual_repeats,repeat_stop_reason,slope_ci_half_width,slope_ci_target,mean_slope_from_mean_distance,mean_intercept_from_mean_distance
2,cycle_baseline,cascade,-0.5124715670162343,0.002066631480443056,32.8,1.813529401164726,2.365488574087408e-13,6.541597951094159e-13,1.365687197251157e-13,1.3656804276116182e-13,1.3657555649185826e-13,1.0,10,ci_stable,0.001280911462231525,0.051247156701623435,-0.5109700660318223,-1.5007856059266875
2,cycle_baseline,heterogeneous_cascade,-0.4861201371700018,0.04588300410140783,33.7,2.6687491868330784,1.2793392318156568e-09,9.616663928842379e-10,1.3738309013483032e-17,3.151115669098602e-15,1.2793392317744792e-09,1.0,10,ci_stable,0.028438580574854044,0.048612013717000184,-0.4618365801406961,-2.352922865867083
2,cycle_baseline,independent,-1.8602231408138665,0.575817016056705,15.966666666666667,3.4887339204668635,1.2570094404561696e-10,4.130505498353989e-10,2.556788315278836e-11,1.1440436387103865e-10,2.064615203186519e-11,1.0,30,max_repeats_reached,0.20605347287718692,0.1860223140813867,-0.7164932021094181,-2.6846485258204034
2,random_strong,cascade,-0.5110530380929411,0.0005294417050437562,34.2,1.6193277068654819,3.022278276826678e-17,3.373080208262437e-17,1.3401577416544657e-17,1.962615573354719e-17,1.9289424136608814e-17,1.0,10,ci_stable,0.00032815136853938585,0.051105303809294116,-0.5108524484002294,-0.9598874068906141
2,random_strong,heterogeneous_cascade,-0.49700854883749573,0.11180412744619826,35.15,5.677981479734724,1.980202999465309e-09,4.297069251617405e-09,5.55589801211323e-10,5.558093567475854e-10,1.6104840029271288e-09,1.0,20,ci_stable,0.04900031931041085,0.04970085488374959,-0.40808072512402,-2.1578767542999304
2,random_strong,independent,-1.6206713467321867,0.6289870604783193,17.766666666666666,5.456305010519124,6.4950877777537e-10,1.7098730388401895e-09,2.7295731796952684e-10,3.2947576053663664e-10,4.156786120188011e-10,1.0,30,max_repeats_reached,0.2250801289165232,0.16206713467321865,-0.6105921035949345,-2.6139635564884136
2,scale_free,cascade,-0.5157985621003702,0.015258181018717997,34.1,1.728840330651991,1.049678488889199e-10,3.3193725928122563e-10,6.06032048346257e-11,6.060320990953049e-11,6.060323231124372e-11,1.0,10,ci_stable,0.009457118574178221,0.05157985621003702,-0.5115249657477086,-0.9365565610483962
2,scale_free,heterogeneous_cascade,-0.5278403844360515,0.03940201710657999,33.0,3.1972210155418126,8.347337472434989e-10,6.215166296444199e-10,6.348869993185493e-11,6.354772307612703e-11,8.080263165163884e-10,1.0,10,ci_stable,0.024421623218495194,0.05278403844360516,-0.5007109951317981,-1.2634351098786984
2,scale_free,independent,-1.948953565574098,0.6634035702871038,16.566666666666666,5.8820787630490505,8.744954186167477e-10,3.826755896438469e-09,1.5569760610001093e-10,2.260909520776224e-10,7.534948501895968e-10,1.0,30,max_repeats_reached,0.23739591878146435,0.19489535655740975,-0.494532409955824,-3.326999244612534
2,small_world,cascade,-0.5131208451574002,0.005833164182092677,33.5,1.7159383568311657,1.3053812245688856e-14,4.000982963995834e-14,7.54139435356664e-15,7.535841134154536e-15,7.527990671861116e-15,1.0,10,ci_stable,0.0036154326171006813,0.05131208451574002,-0.5108007101954831,-1.2915538763858776
2,small_world,heterogeneous_cascade,-0.5698947135981733,0.06356700633014918,30.3,4.001388647846033,3.699907465488135e-10,4.92663089143881e-10,4.795452816499055e-14,1.1432431393664766e-12,3.699570122472937e-10,1.0,10,ci_stable,0.03939923871215609,0.056989471359817336,-0.4849166554848196,-2.368142696976355
2,small_world,independent,-1.543358553855391,0.6075771567126865,18.333333333333332,5.9151082616572985,6.142226210820904e-10,1.6658401765463957e-09,1.6113862000093182e-10,3.4691876037981904e-10,4.063607664252641e-10,1.0,30,max_repeats_reached,0.21741869324884133,0.15433585538553907,-0.46995895901360374,-3.118449585593229
3,cycle_baseline,cascade,-0.5293885785852603,0.026416134013171562,33.7,1.8885620632287063,4.1976222080886874e-11,7.915515252158822e-11,2.671816006667647e-11,2.671816087762651e-11,2.6718131892622832e-11,1.0,10,ci_stable,0.01637288948974185,0.052938857858526034,-0.5182990144914525,-1.1240976249514483
3,cycle_baseline,heterogeneous_cascade,-0.544404099569077,0.07018618017994507,34.3,3.6530048514126623,8.736033320385532e-10,6.362929395452448e-10,2.9284495757860966e-10,2.9277755978776576e-10,7.8697939530036e-10,1.0,10,ci_stable,0.04350184516857621,0.0544404099569077,-0.4338325353555003,-1.4932171395073595
3,cycle_baseline,independent,-0.7628471131157675,0.0700817755447569,26.5,2.2730302828309763,1.3902142434453956e-09,4.2422185409592287e-10,7.742276576949142e-10,8.132856652083025e-10,6.853525958682652e-10,1.0,10,ci_stable,0.043437134505263396,0.07628471131157676,-0.6922849833401216,-0.24222435398235106
3,random_strong,cascade,-0.5240485933865463,0.028624157647364187,34.2,2.6997942308422123,2.469469764815096e-09,6.682702967456281e-09,1.6198832434421992e-09,1.6198832484885745e-09,1.619883244358331e-09,1.0,10,ci_stable,0.01774143671680192,0.05240485933865463,-0.48611136054217785,-0.9908415180559789
3,random_strong,heterogeneous_cascade,-0.546569074579873,0.05189698641001722,32.7,2.9832867780352594,6.286272274513632e-10,6.069473761922523e-10,2.3397319518145653e-11,2.344518975290827e-11,6.700315546692574e-10,1.0,10,ci_stable,0.03216608542787406,0.054656907457987305,-0.4804031182439835,-1.3834723384013043
3,random_strong,independent,-0.7685034965982779,0.3695305611823468,30.166666666666668,10.589791223670064,4.3324234387429665e-09,9.720322120390651e-09,2.6575100013736098e-09,2.8931516708286744e-09,1.9450868419974413e-09,1.0,30,max_repeats_reached,0.1322348130441147,0.07685034965982783,-0.2997845925343834,-2.5234071108741385
3,scale_free,cascade,-0.5110639076048948,0.0004980057315493979,34.2,1.3165611772087662,4.287673439716677e-12,1.099746205303805e-11,2.692982427065177e-12,2.6929871521496915e-12,2.6929856853657518e-12,1.0,10,ci_stable,0.0003086671503048379,0.051106390760489485,-0.5110193898406878,-1.0269005502326614
3,scale_free,heterogeneous_cascade,-0.5268371409434496,0.05610275606019466,33.4,2.5473297566057065,8.01377622491662e-10,5.738334531672673e-10,1.091157651516656e-12,1.276296883924049e-12,8.827939096129334e-10,1.0,10,ci_stable,0.03477284846395383,0.05268371409434496,-0.4813473606940808,-1.4708952676789269
3,scale_free,independent,-1.3429148035797307,0.4840387935439657,18.7,4.027063617489838,4.298215864873742e-10,1.075844601882576e-09,2.9901530800934174e-10,2.0745491759281828e-10,2.5515172380892224e-10,1.0,30,max_repeats_reached,0.1732110577419891,0.13429148035797306,-0.5824311973224987,-3.352231552514888
3,small_world,cascade,-0.511263564118407,0.000590982236096933,34.2,1.229272594305718,1.2520960618056684e-14,3.144850454960447e-14,7.919360294457108e-15,7.939642927674432e-15,7.926366893864185e-15,1.0,10,ci_stable,0.00036629458486206587,0.051126356411840705,-0.510996859095513,-1.0586902962129652
3,small_world,heterogeneous_cascade,-0.504781067958125,0.03564004221833805,34.1,2.2335820757001277,5.995692639382276e-10,2.5268294054281434e-10,1.645970411315274e-15,2.2734549616541898e-14,6.685589208186548e-10,1.0,10,ci_stable,0.022089927025643632,0.05047810679581251,-0.4925737976939334,-1.2903890542518048
3,small_world,independent,-1.6137387069676228,0.5534857354157635,17.2,3.863177180901037,1.2950682648033659e-10,3.677095873840976e-10,7.344640064860702e-11,8.131928129768626e-11,8.6132816841807e-11,1.0,30,max_repeats_reached,0.1980623267291058,0.16137387069676226,-0.7702509019816312,-2.036492114537706
