convergence_time,converged,slope,intercept,final_disagreement,topic1_disagreement,topic2_disagreement,topic3_disagreement,final_distance,iterations_recorded,n,network_type,logic_type,repeat,seed
19,True,-1.144506425548732,-0.11456685576131946,3.320348349613542e-10,3.542527382549565e-11,3.290458391869145e-10,2.6851765602686816e-11,1.0075680028970128e-09,19,2,cycle_baseline,independent,0,89250953
14,True,-1.8424056328540548,0.47911499468419094,6.1808224342295905e-12,4.3603176624884554e-12,4.376055073862517e-12,2.0084281463160914e-13,6.398561843592592e-11,14,2,cycle_baseline,independent,1,773956048
14,True,-2.5466019283183776,-2.2780180576333535,5.551115123125783e-17,0.0,7.850462293418876e-17,0.0,5.887846720064156e-17,14,2,cycle_baseline,independent,2,654571518
14,True,-2.109335077693655,0.4965863133851868,1.5388350528414688e-13,9.27052845518183e-15,1.0738632205686827e-13,1.0982881621819236e-13,2.0189291929048503e-12,14,2,cycle_baseline,independent,3,438878439
14,True,-2.0705605621495966,0.19152641600476764,1.9463427982185722e-13,1.1529667447062245e-13,1.5028256481159235e-13,4.476975207172083e-14,2.464501221217898e-12,14,2,cycle_baseline,independent,4,433015235
14,True,-2.528387775409729,-0.14832275215966093,1.1013742099077092e-16,3.925231146709438e-17,8.777083671441753e-17,5.551115123125783e-17,2.485635383879593e-15,14,2,cycle_baseline,independent,5,858597919
15,True,-1.7858788612860144,0.18984296241520232,2.3523208490529544e-12,9.657344368890246e-13,2.1388030236219642e-12,1.621480822485838e-13,1.6737915890498048e-11,15,2,cycle_baseline,independent,6,201469535
14,True,-2.4374147221808675,-0.8877768345473653,2.420741678874253e-16,1.6653345369377348e-16,3.8321294114307615e-17,1.7554167342883506e-16,4.418021593470969e-15,14,2,cycle_baseline,independent,7,94177347
14,True,-2.551179368800821,-0.1798631731954879,7.647214312758824e-17,6.6010730182116e-17,0.0,3.925231146709438e-17,1.625079471285139e-15,14,2,cycle_baseline,independent,8,526478978
15,True,-1.540173119883568,-0.9253538504755437,2.1194206271883092e-11,1.5668411013179475e-11,9.707547266038212e-12,1.0462256061494202e-11,1.712450600352942e-10,15,2,cycle_baseline,independent,9,975622351
14,True,-2.356487381265887,-5.7789007375484065,2.7755575615628914e-17,0.0,0.0,3.925231146709438e-17,0.0,14,2,cycle_baseline,independent,10,735752370
14,True,-2.5302331798936826,-0.575306214120185,1.013156652982762e-16,0.0,8.777083671441753e-17,5.551115123125783e-17,1.26219223971514e-15,14,2,cycle_baseline,independent,11,761139701
19,True,-1.164704308519649,-0.6640978660056945,1.295855453930454e-10,2.896677342439692e-11,7.078254649127719e-12,1.2610804067670095e-10,4.0429372772424217e-10,19,2,cycle_baseline,independent,12,717477276
18,True,-1.3206103435935983,0.6068520962453099,4.8558579868488505e-11,1.928326942570501e-11,4.006643627985085e-11,1.951337702533134e-11,3.2616406892301604e-10,18,2,cycle_baseline,independent,13,786064305
15,True,-1.7296078631833596,-0.2529775331472153,3.4943468791953544e-12,2.941605292716127e-12,1.1081691120296e-12,1.5262305308461066e-12,2.3637297467314545e-11,15,2,cycle_baseline,independent,14,513226573
14,True,-2.5130715208105907,-0.4268595221271173,1.1857187100668868e-16,1.1102230246251565e-16,4.163336342344337e-17,0.0,2.240693368585511e-15,14,2,cycle_baseline,independent,15,128113632
18,True,-1.302621519703146,-0.14795477693359482,3.0253956907037167e-11,1.4852563623435344e-12,2.8014750241833752e-11,1.1325620996602458e-11,2.081673798739729e-10,18,2,cycle_baseline,independent,16,839748229
14,True,-2.3663242558521573,-5.8475495454395965,0.0,0.0,0.0,0.0,0.0,14,2,cycle_baseline,independent,17,450385937
19,True,-1.2236937152348608,0.618207488196827,8.027834862535977e-11,2.2812501887514713e-11,7.375398902720451e-11,2.2012544564908865e-11,5.040468175753058e-10,19,2,cycle_baseline,independent,18,500351915
14,True,-2.344466228885644,-1.7141355285519042,4.933543681193732e-16,3.6188843062238402e-16,2.220446049250313e-16,2.5133742693021536e-16,7.0558145306146115e-15,14,2,cycle_baseline,independent,19,370798024
14,True,-1.4494305860606491,-15.102051446908327,8.497516059715688e-17,1.962615573354719e-17,7.850462293418876e-17,3.925231146709438e-17,6.206335383118183e-17,14,2,cycle_baseline,independent,20,182549636
14,True,-2.5650354388394754,-2.952623145390766,0.0,0.0,0.0,0.0,0.0,14,2,cycle_baseline,independent,21,926764988
25,True,-0.7819153550674824,-0.6969701663506837,2.1030164249702138e-09,5.852010612206193e-10,2.0193362537668236e-09,4.998895741792353e-11,3.5265305527892745e-09,25,2,cycle_baseline,independent,22,781567455
14,True,-2.4288232326297967,0.31042094694794925,1.2911005054277386e-15,0.0,1.2906342661267445e-15,3.469446951953614e-17,2.2977238530036017e-14,14,2,cycle_baseline,independent,23,643865119
16,True,-1.48090320413562,-0.08071220013128903,4.264392362024568e-11,1.723212197934955e-11,3.7812974973405744e-11,9.577949544592457e-12,2.078122654291046e-10,16,2,cycle_baseline,independent,24,402414364
14,True,-2.247343946921098,0.05592224095312078,1.643408556499974e-14,9.270362255620057e-15,1.8043259068117885e-15,1.3449311109248185e-14,2.113864357087671e-13,14,2,cycle_baseline,independent,25,822761613
29,True,-0.7046843811652046,0.38845521620188894,9.269200481395976e-10,7.096073728672816e-12,8.723018973810781e-10,3.1340041672933694e-10,3.9770739927257905e-09,29,2,cycle_baseline,independent,26,545429118
16,True,-1.5242814943808733,0.294866453704699,1.9693866949084408e-11,1.7113088723874625e-11,3.1792762867103103e-12,9.213185769851862e-12,1.5782947335852976e-10,16,2,cycle_baseline,independent,27,443414198
15,True,-1.7071564519555527,-0.262907560151768,4.913551788242666e-12,3.2698010965503954e-12,3.6676078840876525e-12,6.661338147750939e-15,3.20525107480586e-11,15,2,cycle_baseline,independent,28,450459553
16,True,-1.508856342192257,0.03997207289208253,1.9539990572778196e-11,5.080602605289641e-12,2.816635813474022e-13,1.8865825568446393e-11,1.5415963034396408e-10,16,2,cycle_baseline,independent,29,227238721
34,True,-0.5122367730375094,-1.4109969536136509,2.8341665688035253e-13,1.6362605729516527e-13,1.6363299604194026e-13,1.6363299604194026e-13,1.1293622538810263e-08,34,2,cycle_baseline,cascade,0,92135914
34,True,-0.51087335476911,-1.1745015249800246,1.3401577416544657e-16,7.850462293418876e-17,7.850462293418876e-17,7.850462293418876e-17,1.4738570485306952e-08,34,2,cycle_baseline,cascade,1,554584786
31,True,-0.5115881997107494,-2.8795282192604863,9.813077866773595e-18,9.813077866773595e-18,0.0,9.813077866773595e-18,1.2227952401981122e-08,31,2,cycle_baseline,cascade,2,887889843
34,True,-0.5108598091053879,-1.1838967868059314,2.7755575615628914e-17,0.0,3.925231146709438e-17,0.0,1.4605097317913157e-08,34,2,cycle_baseline,cascade,3,63817255
35,True,-0.5109338681157877,-0.7042778724955929,8.732637862668348e-17,5.551115123125783e-17,3.925231146709438e-17,5.551115123125783e-17,1.4131802366815913e-08,35,2,cycle_baseline,cascade,4,858291293
33,True,-0.5157510850155922,-1.917118506150386,2.0809981703197776e-12,1.2014833572493444e-12,1.2014556019943283e-12,1.2014556019943283e-12,1.0553518306854351e-08,33,2,cycle_baseline,cascade,5,827631171
33,True,-0.5111800571740744,-1.861139771573615,1.3877787807814457e-17,0.0,0.0,1.962615573354719e-17,1.2282175259076693e-08,33,2,cycle_baseline,cascade,6,276759694
30,True,-0.514009219808023,-3.5554953615605407,9.813077866773595e-18,9.813077866773595e-18,9.813077866773595e-18,0.0,9.875903797014178e-09,30,2,cycle_baseline,cascade,7,165229079
30,True,-0.5161477295981411,-3.5665379492766145,7.356340640977073e-16,4.2414077674834486e-16,4.2500725161431774e-16,4.2500725161431774e-16,9.372163777985598e-09,30,2,cycle_baseline,cascade,8,700522966
34,True,-0.511135573827968,-0.7256949391174591,5.551115123125783e-17,0.0,0.0,7.850462293418876e-17,2.295443388087197e-08,34,2,cycle_baseline,cascade,9,354525967
35,True,-0.46301798103893965,-2.236673890598767,2.7876469743670644e-09,0.0,5.551115123125783e-17,2.787646974367064e-09,1.5548682561406116e-08,35,2,cycle_baseline,heterogeneous_cascade,0,67920001
33,True,-0.4751676086579366,-2.6790640520116242,2.7297299976187036e-09,7.850462293418876e-17,1.0880185641326534e-14,2.729729997597019e-09,1.8050006458707233e-08,33,2,cycle_baseline,heterogeneous_cascade,1,970698024
34,True,-0.4746808262538657,-2.342348262657902,1.3327303149966068e-09,0.0,1.5543122344752192e-15,1.3327303149957016e-09,1.5182953837817162e-08,34,2,cycle_baseline,heterogeneous_cascade,2,445687486
35,True,-0.47523145065697897,-2.048153395057681,1.7615491010314344e-09,0.0,0.0,1.7615491010314344e-09,1.2394326707904553e-08,35,2,cycle_baseline,heterogeneous_cascade,3,893121121
35,True,-0.42775672651423674,-3.5684085064558,6.785254580423842e-10,1.962615573354719e-17,5.691585162728684e-16,6.785254580421451e-10,1.3761780432619431e-08,35,2,cycle_baseline,heterogeneous_cascade,4,677919011
31,True,-0.5495115692867814,-1.918718344382914,2.937933091378773e-10,0.0,2.7339594207242473e-15,2.9379330912515686e-10,1.017772114912949e-08,31,2,cycle_baseline,heterogeneous_cascade,5,778383496
33,True,-0.5522391382349223,-0.40517506345874277,4.2486747453551743e-10,0.0,0.0,4.2486747453551743e-10,1.4104237931896524e-08,33,2,cycle_baseline,heterogeneous_cascade,6,759899441
33,True,-0.4807184980695081,-2.9335721180964924,6.450950745807808e-10,9.813077866773595e-18,3.9557781533026205e-16,6.450950745806594e-10,1.141872598507894e-08,33,2,cycle_baseline,heterogeneous_cascade,7,194638707
29,True,-0.5370025799973909,-3.3032574182976866,3.0924135512174185e-10,9.813077866773595e-18,1.5251688800788088e-14,3.092413547456374e-10,1.2182324439328832e-08,29,2,cycle_baseline,heterogeneous_cascade,8,363906031
39,True,-0.42587499298945736,-1.8741925437367188,1.8302132587244572e-09,1.962615573354719e-17,7.076311083754595e-17,1.8302132587244557e-09,1.440300399166728e-08,39,2,cycle_baseline,heterogeneous_cascade,9,466721003
19,True,-1.235235790952736,0.047220248279149966,6.675671863924491e-11,5.140958188667999e-11,4.254495367117754e-11,1.855071651846174e-12,2.3132950372329988e-10,19,2,random_strong,independent,0,497791541
14,True,-2.2229506382976334,0.2717517483431418,2.498194758475385e-14,1.1435297153639112e-14,1.4724339404046242e-14,1.6629059602642204e-14,3.6370420901127743e-13,14,2,random_strong,independent,1,43803765
25,True,-0.7710668127960334,-0.8767825808001728,2.324002882519454e-09,1.6276543446380742e-09,9.306504594741584e-10,1.3731789594295673e-09,3.822358516826437e-09,25,2,random_strong,independent,2,546569503
21,True,-1.053055818635557,0.5347504814405473,2.1490984216289372e-10,1.8853141270369633e-10,9.509726339729241e-11,3.998321118637702e-11,1.2176013087940638e-09,21,2,random_strong,independent,3,154289491
16,True,-1.3594233282566983,-0.7431396751550963,1.4234624819386646e-10,9.771106146416741e-11,4.259632924164207e-11,9.434275582975715e-11,6.628042849850282e-10,16,2,random_strong,independent,4,743375907
14,True,-1.7818386448679362,-0.08145833991530341,1.1338814783468809e-11,3.856359676035481e-12,9.73881392196921e-12,4.341971227006525e-12,8.027629503537093e-11,14,2,random_strong,independent,5,683048953
14,True,-2.3207193209804617,-6.330282093884187,0.0,0.0,0.0,0.0,0.0,14,2,random_strong,independent,6,922527839
28,True,-0.72283427715101,0.4553496495745661,1.2168936782735797e-09,4.714161283558838e-10,7.34405314339881e-10,8.480836588553586e-10,5.270267431440215e-09,28,2,random_strong,independent,7,744762155
14,True,-1.9771526464918319,-1.104686562731713,2.304342406164222e-13,2.2137847111025621e-13,5.781487066975878e-14,2.736699755701011e-14,2.268269258402052e-12,14,2,random_strong,independent,8,366642656
19,True,-1.2177615482236437,0.2543490885758855,6.052617612072914e-11,4.374973994192288e-11,3.161552269981348e-11,2.7383151302018405e-11,3.897740107516952e-10,19,2,random_strong,independent,9,967509732
14,True,-1.4740502445625225,-14.88997183747488,0.0,0.0,0.0,0.0,0.0,14,2,random_strong,independent,10,905535765
18,True,-1.1475841174164196,-0.9461838009106287,2.1094242892697347e-10,2.062926218737715e-10,2.730543569035107e-11,3.456118724547447e-11,1.307498694039724e-09,18,2,random_strong,independent,11,370459705
30,True,-0.6267021197702458,-0.35923002299636164,6.853617001394107e-09,2.437885601724865e-09,1.9303096898681815e-09,6.107592348536528e-09,8.932239141150307e-09,30,2,random_strong,independent,12,76343185
14,True,-2.1493754958725084,0.08622014619894112,5.812803716390292e-14,1.8929383964333824e-14,5.45744009953552e-14,6.494804694057166e-15,7.919638997029799e-13,14,2,random_strong,independent,13,469555811
15,True,-1.733710473775171,0.21094565529168208,3.767386314925242e-12,2.2734652702083302e-12,1.5941623021804599e-12,2.5462132404022276e-12,3.550074266800994e-11,15,2,random_strong,independent,14,795679975
14,True,-2.426740725550804,-1.6156656099239128,1.314522928702541e-16,7.076311083754595e-17,7.850462293418876e-17,7.850462293418876e-17,1.7199501139797033e-15,14,2,random_strong,independent,15,189471358
21,True,-1.002113728702814,-0.0688958812728724,3.4650697853470214e-10,1.1568063174040244e-10,3.2651098838543113e-10,8.697820241820864e-12,1.84426694910156e-09,21,2,random_strong,independent,16,462940571
14,True,-2.080539185848769,-1.0547071142155668,6.208653637048345e-14,3.674838211509268e-14,3.7692071686024065e-14,3.291811268013589e-14,6.167284329990566e-13,14,2,random_strong,independent,17,129921505
14,True,-1.9579385476492719,0.4516668596280566,1.4706122373259976e-12,6.640243910283061e-13,8.647804699015648e-13,9.868772465893016e-13,1.385639973317788e-11,14,2,random_strong,independent,18,686478210
14,True,-2.5056289994784047,-0.6831542549242199,8.326672684688674e-17,0.0,8.777083671441753e-17,0.0,1.7527816313752602e-15,14,2,random_strong,independent,19,330196333
14,True,-2.19741689362163,-7.711286727834686,5.878725253121983e-17,1.962615573354719e-17,0.0,5.551115123125783e-17,0.0,14,2,random_strong,independent,20,226909348
16,True,-1.5518528798891338,-0.0960652902694998,1.3165647916480449e-11,3.5713099144629723e-13,9.3219043595796e-12,9.290255197080862e-12,7.058699973620283e-11,16,2,random_strong,independent,21,564499893
23,True,-0.8551298783844448,-1.1265838896767988,9.989824717875247e-10,3.135180448588009e-10,9.876371942496576e-11,9.433547276671561e-10,2.18979530504088e-09,23,2,random_strong,independent,22,669813994
24,True,-0.8849978030409186,0.5468711706280195,5.125704034206529e-10,2.6019833510027163e-10,1.0788298032694861e-10,4.2823650875378766e-10,2.4972129596428493e-09,24,2,random_strong,independent,23,940306095
14,True,-2.1520047803505826,-0.3487997081532502,4.297839142897436e-14,5.440092820663267e-15,3.6359846431373785e-14,2.2260040859526068e-14,4.929963686183637e-13,14,2,random_strong,independent,24,437151918
14,True,-2.58978342282752,-2.4984346173059557,6.938893903907228e-18,0.0,9.813077866773595e-18,0.0,1.3877787807814457e-17,14,2,random_strong,independent,25,160688162
15,True,-1.6044024783707909,-0.4371936857375943,1.9439651946715887e-11,2.5372481899343514e-12,8.133091422569311e-12,1.7473272828660685e-11,1.1352226525061035e-10,15,2,random_strong,independent,26,629764301
33,True,-0.5612885369665748,-0.7208819598375389,6.48750718015413e-09,2.3646409622046782e-09,5.4867227705646116e-09,2.528259435141678e-09,7.699417756485002e-09,33,2,random_strong,independent,27,700265101
14,True,-2.11832206769992,-0.07307754553891065,9.755454786841193e-14,4.7684078907650473e-14,1.0880185641326534e-14,8.440817489407948e-14,1.0126953087748648e-12,14,2,random_strong,independent,28,97226634
14,True,-2.33851919553361,-0.3336197966215211,2.7657881257123113e-15,1.1379786002407855e-15,2.4147350785597155e-15,7.2377686124476805e-16,4.0685006634370415e-14,14,2,random_strong,independent,29,312366641
36,True,-0.5108552471675107,-0.20833683061197447,5.551115123125783e-17,0.0,7.850462293418876e-17,0.0,1.39479132165327e-08,36,2,random_strong,cascade,0,767843914
34,True,-0.5108288574785433,-1.3310336915398877,1.3877787807814457e-17,0.0,0.0,1.962615573354719e-17,1.2615341656214998e-08,34,2,random_strong,cascade,1,832259801
33,True,-0.5112420139273199,-1.7718238929024386,8.732637862668348e-17,5.551115123125783e-17,3.925231146709438e-17,5.551115123125783e-17,1.3413412960459837e-08,33,2,random_strong,cascade,2,435216667
36,True,-0.5108264074732486,-0.48904572259379153,3.925231146709438e-17,3.925231146709438e-17,0.0,3.925231146709438e-17,1.0541315717317087e-08,36,2,random_strong,cascade,3,804764357
35,True,-0.5108287796506229,-0.5076853602964267,7.850462293418876e-17,0.0,7.850462293418876e-17,7.850462293418876e-17,1.7243499291073176e-08,35,2,random_strong,cascade,4,841691868
32,True,-0.512516455344835,-2.6262650625498667,0.0,0.0,0.0,0.0,9.267047598790127e-09,32,2,random_strong,cascade,5,387478378
32,True,-0.5108261129737858,-2.3104722197332372,2.7755575615628914e-17,3.925231146709438e-17,0.0,0.0,1.316006700205739e-08,32,2,random_strong,cascade,6,898087625
36,True,-0.5108417178779054,-0.42944609250489874,0.0,0.0,0.0,0.0,1.1184613449958445e-08,36,2,random_strong,cascade,7,288328103
33,True,-0.5108772193365414,-2.0729148036524006,0.0,0.0,0.0,0.0,1.0002425443483775e-08,33,2,random_strong,cascade,8,239557784
35,True,-0.510887569699098,-0.8603605530311035,0.0,0.0,0.0,0.0,1.2102498215328328e-08,35,2,random_strong,cascade,9,682495503
33,True,-0.5222822673672289,-1.188965480922633,1.8047620178465509e-09,0.0,6.645795025406187e-13,1.804761895485285e-09,1.7740595356433486e-08,33,2,random_strong,heterogeneous_cascade,0,636761825
29,True,-0.5420721712574753,-3.437097926854047,9.850627468312383e-12,0.0,1.1277090714195068e-13,9.849981941240341e-12,1.5202687162307623e-08,29,2,random_strong,heterogeneous_cascade,1,139752483
